"sample_id","D_level","sample_num","transect","Depth (m)","Mean time of deposition","Duration","Diatom_Symmetric_Biraphid_spp.","Diatom_Symmetric_Biraphid_Craticula_spp.","Diatom_Symmetric_Biraphid_Navicula_spp.","Diatom_Symmetric_Biraphid_Geissleria_spp.","Diatom_Symmetric_Biraphid_Anomoeneis_spp.","Diatom_Symmetric_Biraphid_Anomoeneis_sculpta","Diatom_Symmetric_Biraphid_Aneumastus_psuedotusculus","Diatom_Symmetric_Biraphid_Pseudofallacia_spp.","Diatom_Asymmetric_Biraphid_spp.","Diatom_Asymmetric_Biraphid_Amphora_spp.","Diatom_Asymmetric_Biraphid_Amphora_coffeaeformis","Diatom_Asymmetric_Biraphid_Amphora_copulata","Diatom_Asymmetric_Biraphid_Cymbella_spp.","Diatom_Asymmetric_Biraphid_Cymbella_cymbiformis","Diatom_Asymmetric_Biraphid_Encyonema_spp.","Diatom_Asymmetric_Biraphid_Encyonema_auerswaldii","Diatom_Asymmetric_Biraphid_Gomphoneis_spp.","Diatom_Asymmetric_Biraphid_Semivanis_eulensteinii","Diatom_Araphid_spp.","Diatom_Araphid_Fragilaria_vaucheriae","Diatom_Araphid_Fragilariales_spp.","Diatom_Araphid_Licmophora_spp.","Diatom_Araphid_Odontidium_spp.","Diatom_Araphid_Punctastriata_mimetica","Diatom_Araphid_Pseudostaurosira_brevistriata","Diatom_Araphid_Pseudostaurosira_trainorii","Diatom_Araphid_Staurosira_construens_construens","Diatom_Araphid_Staurosira_construens_binodis","Diatom_Araphid_Staurosira_construens_venter","Diatom_Araphid_Staurosirella_spp.","Diatom_Araphid_Staurosirella_leptostauron_leptostauron","Diatom_Araphid_Staurosirella_leptostauron_dubia","Diatom_Araphid_Staurosirella_pinnata","Diatom_Araphid_Tetracyclus_spp.","Diatom_Araphid_Tetracyclus_glans","Diatom_Centric_spp.","Diatom_Centric_Actinocyclus_spp.","Diatom_Centric_Alveophora_americana","Diatom_Centric_Aulacoseira_spp.","Diatom_Centric_Aulacoseira_ambigua","Diatom_Centric_Aulacoseira_canadensis","Diatom_Centric_Aulacoseira_nivaloides","Diatom_Centric_Aulacoseira_pusilla","Diatom_Centric_Aulacoseira_subarctica","Diatom_Centric_Aulacoseira_tenella","Diatom_Centric_Chaetoceros_spp.","Diatom_Centric_Cyclostephanos_tholiformis","Diatom_Centric_Cyclotella_spp.","Diatom_Centric_Lindavia_rossii","Diatom_Centric_Pliocaenicus_spp.","Diatom_Centric_Stephanodiscus_spp.","Diatom_Monoraphid_spp.","Diatom_Monoraphid_Cocconeis_spp.","Diatom_Monoraphid_Planothidium_apiculatum","Diatom_Monoraphid_Planothidium_delicatulum","Diatom_Eunotioid_spp.","Diatom_Eunotioid_Eunotia_spp.","Diatom_Eunotioid_Semiorbis_spp.","Diatom_Epithemioid_spp.","Diatom_Epithemioid_Epithemia_gibberula","Diatom_Epithemioid_Epithemia_musculus","Diatom_Epithemioid_Rhopalodia_spp.","Diatom_Nitzschioid_spp.","Diatom_Nitzschioid_Nitzschia_fonticola","Diatom_Surirelloid_spp.","Diatom_Surirelloid_Surirella_amphioxys","Diatom_Unidentified_A","Diatom_Unidentified_B","Diatom_Unidentified_C","Diatom_Unidentified_D","Diatom_Unidentified_E","Diatom_Unidentified_F","Diatom_Unknown_Diatom","Diatom_Unknown_Diatom fragment","Phytolith_Acicular","Phytolith_Acute","Phytolith_Acute_Arcuate","Phytolith_Bilobate","Phytolith_Blocky","Phytolith_Brachiate","Phytolith_Bulliform_flabellate","Phytolith_Elongate_Crenate","Phytolith_Elongate","Phytolith_Elongate_Dentate","Phytolith_Elongate_Entire_type_1","Phytolith_Elongate_Entire_type_2","Phytolith_Elongate_Sinuate","Phytolith_Geniculate","Phytolith_Oblong_Psilate","Phytolith_Polygonal_Tabular_type_1","Phytolith_Polygonal_Tabular_type_2","Phytolith_Polyhedral_Sclereid","Phytolith_Rondel","Phytolith_Saddle","Phytolith_Spheroid_Granulate","Phytolith_Spheroid_Psilate","Phytolith_Spheroid_Ornate","Phytolith_Spheroid_Plicate","Phytolith_Tracheary_annulate","Phytolith_Cross","Phytolith_Unknown","Others_Sponge spicule","Others_Charred","Others_Granules","Others_Undetermined_G","Others_Undetermined_H","Others_Undetermined_I","Others_Undetermined_J","Others_Undetermined_K","Others_Undetermined_L"
"D11_56_T2_LAC","D11","56","T2",14.229776,41008,951,"  2",NA,"  2",NA,NA,NA,NA,NA,"  1",NA,"  3",NA,NA,NA,NA,NA,NA,NA," 10",NA,NA,NA,NA," 31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"  4",NA," 12",NA,NA,NA,NA,NA,"  3",NA,"  1",NA,NA,"  1",NA,NA,NA,NA,NA,"  1",NA,NA,NA,NA,NA,NA,NA,NA,"  5",NA,NA,NA,NA,NA,NA,NA,NA,"  7",NA,NA,NA,NA,"  5",NA,"  1",NA,NA,NA," 12",NA,"  1",NA,NA,NA,NA,NA,NA,NA,NA,"  1","  4",NA,NA,NA,NA,"  4","  1",NA,NA,NA,NA,NA,NA,NA
"D11_56_T3_LAC","D11","56","T3",14.229776,41008,951,"  1","  2",NA,NA,NA,NA,NA,NA,"  2",NA,"  1",NA,NA,NA,NA,NA,NA,NA," 12",NA,NA,NA,NA," 17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," 14",NA,NA,NA,NA,NA,"  3",NA,"  4",NA,"  1","  4",NA,NA,NA,NA,"  2",NA,NA,NA,NA,NA,"  2",NA,NA,NA,"  2",NA,NA,NA,NA,NA,NA,NA,NA," 18",NA,NA,NA,NA," 10",NA,NA,NA,NA,"  1"," 19",NA,"  1",NA,NA,NA,NA,NA,NA,NA,NA,"  1","  2",NA,NA,NA,NA,"  8",NA,NA,NA,NA,NA,NA,NA,"  2"
"D11_56_T4_LAC","D11","56","T4",14.229776,41008,951,"  2","  1","  3",NA,NA,NA,NA,NA,NA,NA,"  2",NA,"  1",NA,NA,NA,NA,NA," 13","  1",NA,NA,NA," 23",NA,NA,NA,NA,NA,"  1",NA,NA,NA,NA,NA,"  1","  1",NA," 13",NA,NA,NA,NA,NA,"  5",NA,"  5",NA,NA,"  2",NA,NA,NA,NA,NA,"  1",NA,NA,NA,"  2","  1",NA,NA,NA,"  5",NA,NA,NA,NA,NA,NA,NA,NA,"  9",NA,"  1",NA,NA," 12",NA,NA,NA,NA,NA,"  4",NA,NA,NA,"  3",NA,NA,NA,NA,NA,NA,"  1","  3",NA,NA,NA,NA,"  3",NA,NA,NA,NA,NA,NA,NA,"  3"
"D11_57_T1_LAC","D11","57","T1",14.229776,41008,951,"  2","  5","  1",NA,NA,NA,NA,NA,"  6",NA,NA,NA,"  3",NA,NA,NA,NA,NA,"  6",NA,NA,NA,NA," 21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," 22",NA,NA,NA,NA,NA,"  3",NA,"  2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"  3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"  1",NA,NA," 13",NA,NA,NA,NA,"  1","  7",NA,NA,NA,"  3",NA,NA,NA,"  1",NA,NA,"  1","  3",NA,NA,NA,NA,"  2","  1",NA,NA,NA,NA,NA,NA,"  2"
"D11_57_T2_LAC","D11","57","T2",14.229776,41008,951,"  1","  3","  4",NA,"  1",NA,NA,NA,"  3",NA,"  1",NA,"  1",NA,NA,NA,NA,NA,"  2",NA,NA,NA,NA," 15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," 20",NA,NA,NA,NA,NA,"  1",NA,"  3",NA,NA,"  4",NA,NA,NA,NA,NA,"  2",NA,NA,NA,NA,"  2",NA,NA,NA,"  4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"  1",NA,NA,"  8",NA,NA,NA,NA,NA," 17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"  2","  2",NA,NA,NA,NA,"  3",NA,NA,NA,NA,NA,NA,NA,NA
"D11_57_T3_LAC","D11","57","T3",14.229776,41008,951,"  1","  3","  2",NA,NA,NA,NA,NA,"  6",NA,NA,NA,NA,NA,NA,NA,NA,NA," 16",NA,NA,NA,NA," 17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"  2","  3",NA," 15",NA,NA,NA,NA,NA,"  6",NA,"  1",NA,NA,"  1",NA,NA,NA,NA,NA,"  1",NA,NA,NA,"  1",NA,NA,NA,NA,"  2",NA,NA,NA,NA,NA,NA,NA,NA," 15",NA,"  1",NA,NA," 11",NA,NA,NA,NA,"  2"," 12",NA,"  1",NA,"  1",NA,NA,NA,NA,NA,NA,NA,"  7",NA,NA,NA,NA,"  6","  1",NA,NA,NA,NA,NA,NA,"  2"
"D11_57_T4_LAC","D11","57","T4",14.229776,41008,951,NA,"  2",NA,NA,NA,NA,NA,NA,"  3",NA,"  2",NA,NA,NA,NA,NA,NA,NA,"  4",NA,NA,NA,NA," 12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"  3",NA," 20",NA,NA,NA,NA,NA,"  5",NA,"  7",NA,NA,NA,NA,NA,NA,NA,"  1","  1",NA,NA,NA,NA,"  1",NA,NA,NA,"  5",NA,NA,NA,NA,NA,NA,NA,NA," 16",NA,"  1",NA,NA," 11",NA,NA,NA,NA,"  2","  7","  2",NA,NA,"  2",NA,NA,NA,NA,NA,NA,"  1","  3",NA,NA,NA,NA,"  4",NA,NA,NA,NA,NA,NA,NA,"  2"
"D11_58_T1_LAC","D11","58","T1",14.229776,41008,951,NA,NA,"  5",NA,NA,NA,NA,NA,NA,NA," 10",NA,NA,NA,NA,NA,NA,NA,"  5",NA,"  3",NA,"  1"," 33",NA,NA,NA,NA,NA,"  1",NA,NA,"  3",NA,NA,NA,NA,NA,"  8",NA,NA,NA,NA,NA,"  1",NA,"  1",NA,NA,"  1",NA,NA,NA,NA,NA,"  1",NA,NA,NA,NA,NA,NA,NA,NA,"  2",NA,NA,NA,NA,NA,NA,NA,NA,"  5",NA,NA,NA,NA," 15",NA,NA,NA,NA,NA,"  4",NA,"  2",NA,NA,NA,NA,NA,NA,NA,NA,"  1","  5",NA,NA,NA,NA,NA,"  1",NA,NA,NA,NA,NA,NA,"  2"
"D11_58_T2_LAC","D11","58","T2",14.229776,41008,951,NA,NA,"  1",NA,NA,NA,NA,NA,NA,NA,"  8",NA,NA,NA,NA,NA,NA,NA," 18",NA,"  1",NA,"  1"," 20",NA,NA,NA,NA,NA,"  2",NA,NA,"  5","  2",NA,NA,NA,"  1"," 15",NA,NA,NA,NA,"  1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"  1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"  8",NA,NA,NA,NA,NA,"  3",NA,NA,NA,NA,NA,NA,NA,"  1",NA,"  1","  2","  3",NA,NA,NA,"  1","  4",NA,NA,NA,NA,"  2",NA,NA,NA
"D11_58_T3_LAC","D11","58","T3",14.229776,41008,951,NA,NA,"  6",NA,NA,NA,NA,NA,NA,NA,"  5",NA,NA,NA,NA,NA,NA,NA,"  3",NA,"  1",NA,"  1"," 23",NA,NA,NA,NA,NA,"  3",NA,NA," 12",NA,"  1","  1",NA,NA," 12",NA,NA,NA,NA,"  2","  2",NA,"  2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"  4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"  1",NA,NA," 14",NA,NA,NA,NA,NA,"  4",NA,NA,NA,"  2",NA,NA,NA,NA,NA,"  2","  3","  2",NA,NA,NA,NA,"  1",NA,NA,NA,NA,NA,NA,NA,"  1"
"D11_58_T4_LAC","D11","58","T4",14.229776,41008,951,NA,"  6","  2",NA,NA,NA,NA,NA,NA,NA,"  9",NA,NA,NA,NA,NA,NA,NA,"  7",NA,"  1",NA,NA," 22",NA,NA,NA,NA,NA,NA,NA,NA,"  5",NA,NA,"  1",NA,NA,"  9",NA,NA,NA,NA,"  5","  3",NA,"  3",NA,NA,NA,NA,NA,NA,NA,NA,"  2",NA,NA,NA,NA,"  1",NA,NA,NA,"  2",NA,NA,NA,NA,NA,NA,NA,NA,"  6",NA,NA,NA,NA," 15",NA,NA,NA,NA,NA,"  1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"  1","  2","  2",NA,NA,NA,NA,NA,"  1",NA,NA,NA,NA,NA,NA,NA
"D12_34_T1_LAC","D12","34","T1",17.568263,50629,1703,NA,"  2","  6",NA,"  1",NA,NA,NA,NA,NA,"  3",NA,NA,NA,NA,NA,NA,NA,"  6",NA,"  1",NA,NA,"  9",NA,NA,NA,NA,NA,NA,NA,NA,"  5",NA,NA,NA,"  1",NA," 20",NA,NA,NA,"  8",NA,"  2",NA,NA,"  1",NA,NA,NA,NA,NA,NA,"  1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"  1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"  5",NA,NA,NA,NA,NA,"  3",NA,"  1",NA,"  1",NA,NA,NA,NA,NA,NA," 32",NA,NA,NA,NA,NA,NA,"  1",NA,NA,NA,NA,NA,NA,NA
"D12_34_T2_LAC","D12","34","T2",17.568263,50629,1703,NA,"  1",NA,NA,NA,NA,NA,NA,NA,NA,"  2",NA,"  1",NA,NA,NA,NA,NA,"  8",NA,NA,NA,NA,"  7",NA,NA,NA,NA,NA,NA,NA,NA,"  1",NA,NA,NA,NA,"  5"," 17",NA,NA,NA,"  3",NA,"  6",NA,NA,NA,NA,NA,NA,NA,"  1",NA,"  1",NA,NA,NA,NA,"  1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"  1",NA,NA," 13",NA,NA,NA,NA,"  1","  6",NA,"  1",NA,"  1",NA,NA,NA,NA,NA,NA," 46",NA,NA,NA,NA,NA,NA,"  1",NA,NA,NA,NA,NA,NA,NA
"D12_34_T3_LAC","D12","34","T3",17.568263,50629,1703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"  5",NA,"  1",NA,NA,NA,NA,NA,"  4",NA,NA,NA,NA,"  9",NA,NA,NA,NA,NA,NA,NA,NA,"  2",NA,NA,NA,"  2","  1"," 38",NA,NA,NA,"  3",NA,"  6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"  4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"  4",NA,NA,NA,NA,NA,"  7",NA,NA,NA,"  1",NA,NA,NA,NA,NA,NA," 25",NA,NA,NA,NA,NA,"  4",NA,NA,NA,NA,NA,NA,NA,NA
"D12_34_T4_LAC","D12","34","T4",17.568263,50629,1703,NA,NA,"  2",NA,NA,NA,NA,NA,NA,NA,"  7",NA,NA,NA,NA,NA,NA,NA,"  8",NA,NA,NA,NA,"  5",NA,NA,NA,NA,NA,NA,NA,NA,"  2",NA,NA,NA,"  2","  1"," 22",NA,"  5",NA,NA,"  2","  8",NA,"  2",NA,NA,NA,NA,NA,"  1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," 10",NA,NA,NA,NA,"  1","  5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," 24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D12_35_T1_LAC","D12","35","T1",17.568263,50629,1703,NA,"  2"," 20",NA,"  1",NA,NA,NA,NA,NA,"  5",NA,NA,NA,NA,NA,NA,NA,"  4",NA," 11",NA,NA,"  6",NA,NA,NA,NA,NA,"  1",NA,"  1","  1",NA,NA,NA,NA,NA,"  6",NA,"  1",NA,NA,NA,"  1",NA,"  1",NA,NA,NA,NA,NA,"  6",NA,NA,"  2",NA,NA,NA,"  1",NA,NA,NA,NA," 11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," 10","  1",NA,NA,NA,NA,"  5",NA,NA,NA,NA,"  3",NA,NA,NA,NA,"  1","  3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D12_35_T2_LAC","D12","35","T2",17.568263,50629,1703,"  1",NA," 14",NA,NA,NA,NA,NA,NA,NA,"  8",NA,NA,NA,NA,NA,NA,NA,"  5",NA," 10",NA,NA," 12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"  1",NA,"  1"," 14",NA,NA,NA,NA,NA,"  2",NA,NA,NA,NA,NA,NA,NA,"  3",NA,NA,"  2",NA,NA,NA,NA,NA,NA,NA,NA,"  5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," 16",NA,NA,NA,NA,NA,"  5",NA,NA,NA,NA,NA,NA,NA,NA,NA,"  2"," 10",NA,NA,NA,NA,NA,NA,"  3",NA,NA,NA,NA,NA,NA,NA
"D12_35_T3_LAC","D12","35","T3",17.568263,50629,1703,NA,NA," 13",NA,"  1",NA,NA,NA,NA,NA,"  4",NA,NA,NA,NA,NA,NA,NA,"  4",NA,"  8",NA,NA,"  8",NA,NA,NA,NA,NA,NA,NA,NA,"  4",NA,NA,"  1",NA,NA," 11",NA,NA,NA,NA,NA,"  4",NA,"  2",NA,NA,NA,NA,NA,"  4",NA,NA,NA,NA,NA,NA,"  6",NA,NA,NA,NA," 10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"  8",NA,NA,NA,NA,NA,"  4",NA,NA,NA,NA,"  5","  3",NA,NA,NA,"  2","  7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D12_35_T4_LAC","D12","35","T4",17.568263,50629,1703,NA,NA," 23",NA,NA,NA,NA,NA,NA,NA,"  5",NA,NA,NA,NA,NA,NA,NA,"  8",NA,"  4",NA,NA,"  4",NA,NA,NA,NA,NA,NA,NA,"  1","  2","  1",NA,"  1",NA,"  1","  9",NA,NA,NA,NA,NA,"  1",NA,NA,NA,NA,NA,NA,NA,"  2",NA,NA,"  4",NA,NA,NA,"  4",NA,NA,NA,NA," 12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"  1",NA,NA,"  6",NA,NA,NA,NA,NA,"  3",NA,"  4",NA,NA,"  1","  2",NA,"  1",NA,"  2","  4","  1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D12_36_T1_LAC","D12","36","T1",17.568263,50629,1703,NA,NA,"  8",NA,NA,NA,NA,NA,NA,NA,"  6",NA,"  2",NA,NA,NA,NA,NA," 10",NA,NA,NA,NA," 15",NA,NA,NA,NA,NA,NA,NA,NA,"  3","  1",NA,NA,NA,NA," 15",NA,NA,NA,NA,NA,"  2",NA,"  3",NA,NA,"  1",NA,NA,"  1",NA,NA,"  4",NA,NA,NA,NA,"  2",NA,NA,NA,"  8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," 11",NA,NA,NA,NA,NA,"  4",NA,"  2",NA,"  1",NA,NA,NA,NA,NA,"  1","  6",NA,NA,NA,NA,NA,"  3","  2",NA,NA,NA,NA,NA,NA,"  1"
"D12_36_T2_LAC","D12","36","T2",17.568263,50629,1703,NA,NA," 14",NA,NA,NA,NA,NA,NA,NA,"  4",NA,NA,NA,NA,NA,NA,NA,"  6",NA,NA,NA,NA,"  7",NA,NA,NA,NA,NA,NA,NA,"  1",NA,NA,NA,NA,NA,NA," 28",NA,NA,NA,NA,NA,"  4",NA,"  2",NA,NA,"  1","  1",NA,NA,NA,"  1","  1",NA,NA,NA,"  1","  1",NA,NA,NA,"  7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," 11",NA,NA,NA,NA,"  1","  7",NA,"  2",NA,"  1",NA,NA,NA,NA,NA,NA,"  1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D12_36_T3_LAC","D12","36","T3",17.568263,50629,1703,NA,NA," 13",NA,NA,NA,NA,NA,NA,NA,"  5",NA,"  2",NA,NA,NA,NA,NA,"  7",NA,NA,NA,NA,"  9",NA,NA,NA,NA,NA,NA,NA,NA,"  3",NA,NA,NA,NA,NA," 19",NA,NA,NA,NA,NA,"  3",NA,"  4",NA,NA,NA,"  2",NA,"  1",NA,NA,"  2",NA,NA,NA,NA,"  1",NA,NA,NA,"  4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," 10",NA,NA,NA,NA,"  1","  5",NA,NA,NA,NA,NA,"  4",NA,NA,NA,"  2","  5",NA,NA,NA,NA,NA,NA,"  1",NA,NA,NA,NA,NA,NA,NA
"D12_36_T4_LAC","D12","36","T4",17.568263,50629,1703,NA,NA," 10",NA,NA,NA,NA,NA,NA,NA,"  4",NA,NA,NA,NA,NA,NA,NA,"  4",NA,"  5",NA,NA,"  9",NA,NA,NA,NA,NA,NA,NA,NA,"  3",NA,NA,NA,NA,"  2"," 21",NA,NA,NA,NA,NA,"  2",NA,"  3","  1",NA,NA,"  3",NA,"  1",NA,NA,"  1",NA,NA,NA,NA,NA,NA,NA,NA,"  7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"  9",NA,NA,NA,NA,NA,"  5",NA,"  2",NA,NA,NA,"  4",NA,NA,NA,"  1","  3",NA,NA,NA,NA,NA,"  2","  2",NA,NA,NA,NA,NA,NA,NA
"D13_7_T1_LAC","D13","7","T1",19.170362,55246,1037,"  2","  1","  2",NA,"  1",NA,NA,NA,"  4",NA,"  5",NA,NA,NA,NA,NA,NA,NA,"  3",NA,NA,NA,NA," 10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"  1",NA,NA," 34",NA,NA,NA,NA,NA,"  6",NA,"  4",NA,NA,"  3",NA,NA,NA,NA,NA,"  3",NA,NA,NA,NA,"  2",NA,NA,NA,"  4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"  1",NA,NA," 13",NA,"  1",NA,NA,"  5","  9",NA,"  1",NA,"  4",NA,NA,NA,"  1",NA,NA,"  4","  6",NA,NA,NA,NA,"  5","  2",NA,NA,NA,NA,NA,NA,"  3"
"D13_7_T2_LAC","D13","7","T2",19.170362,55246,1037,NA,NA,"  1",NA,NA,NA,NA,NA,"  4",NA,"  2",NA,NA,NA,NA,NA,NA,NA,"  7",NA,NA,NA,NA,"  6",NA,NA,NA,NA,NA,NA,NA,NA,"  2",NA,"  1","  1",NA,NA," 24",NA,NA,NA,NA,NA,"  1",NA,"  3",NA,NA,"  2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"  3",NA,NA,NA,NA,NA,NA,NA,NA," 18",NA,"  2",NA,NA,"  8",NA,NA,NA,NA,"  1","  6",NA,NA,NA,"  1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"  8",NA,NA,NA,NA,"  1",NA,NA,"  3"
"D13_7_T3_LAC","D13","7","T3",19.170362,55246,1037,NA," 2"," 1",NA,NA,NA,NA,NA," 3",NA," 7",NA,NA,NA,NA,NA,NA,NA," 2",NA,NA,NA,NA," 5",NA,NA,NA,NA,NA,NA,NA,NA," 1",NA," 1"," 1"," 2",NA,"24",NA,NA,NA,NA,NA," 8",NA," 5",NA,NA," 3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," 1",NA,NA,NA," 5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," 1",NA,NA," 8",NA,NA,NA,NA,NA," 5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," 1"," 1",NA,NA,NA,NA," 4"," 2",NA,NA,NA," 1",NA,NA,NA
"D13_7_T4_LAC","D13","7","T4",19.170362,55246,1037,NA,NA,"  2",NA,NA,NA,NA,NA,NA,NA," 11",NA,NA,NA,NA,NA,NA,NA,"  4",NA,NA,NA,NA,"  9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"  3",NA," 23",NA,NA,NA,NA,NA,"  7",NA,"  6",NA,NA,"  1",NA,"  2",NA,NA,"  1","  1",NA,NA,NA,NA,"  1",NA,NA,NA,"  4",NA,NA,NA,NA,NA,NA,NA,NA,"  8",NA,"  1",NA,NA," 16",NA,NA,NA,NA,NA,"  3",NA,NA,NA,"  1",NA,NA,"  1",NA,NA,NA,NA,"  2",NA,NA,NA,NA,"  4",NA,NA,NA,NA,NA,NA,NA,"  1"
"D13_8_T1_LAC","D13","8","T1",19.170362,55246,1037,"  2",NA,"  1",NA,NA,NA,NA,NA,"  4",NA,"  9",NA,NA,NA,NA,NA,NA,NA,"  6",NA,NA,NA,NA," 12",NA,NA,NA,NA,NA,NA,NA,NA,"  2",NA,NA,"  1","  1",NA," 28",NA,NA,NA,NA,NA,"  5",NA,"  4",NA,NA,"  2",NA,NA,NA,NA,NA,"  1",NA,NA,NA,NA,"  1",NA,NA,NA,"  1",NA,NA,NA,NA,NA,NA,NA,NA," 17",NA,"  2",NA,NA," 12",NA,NA,NA,NA,"  2","  7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"  6","  2",NA,NA,NA,NA,"  1","  4",NA,NA,NA,NA,NA,NA,"  1"
"D13_8_T2_LAC","D13","8","T2",19.170362,55246,1037,NA,NA," 1",NA,NA,NA,NA,NA," 4",NA," 5",NA,NA,NA,NA,NA,NA,NA," 3",NA,NA,NA,NA," 7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," 1",NA,NA,"18",NA,NA,NA,NA,NA," 4",NA," 2",NA,NA," 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," 5",NA,NA,NA,NA,NA,NA,NA,NA,"13",NA," 1",NA,NA,"12",NA,NA,NA,NA," 1"," 6",NA,NA,NA," 1",NA,NA,NA,NA,NA,NA," 6",NA,NA,NA,NA,NA,NA," 1",NA,NA,NA," 1",NA,NA," 4"
"D13_8_T3_LAC","D13","8","T3",19.170362,55246,1037,"  2",NA,NA,NA,NA,NA,NA,NA,"  2",NA,"  4",NA,NA,NA,NA,NA,NA,NA,"  4",NA,NA,NA,NA," 11",NA,NA,NA,NA,NA,NA,NA,NA,"  1",NA,"  1","  1",NA,NA," 24",NA,NA,NA,"  2",NA,"  3",NA,"  5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"  6",NA,NA,NA,NA,NA,NA,NA,NA," 12",NA,NA,NA,NA,"  9",NA,NA,NA,NA,"  1","  7",NA,"  1",NA,"  1",NA,NA,NA,NA,NA,NA,"  4","  3",NA,NA,NA,NA,"  2","  2",NA,NA,NA,NA,NA,NA,NA
"D13_8_T4_LAC","D13","8","T4",19.170362,55246,1037,NA," 1",NA,NA,NA,NA,NA,NA," 1",NA," 6",NA,NA,NA,NA,NA,NA,NA," 4",NA,NA,NA,NA," 8",NA,NA,NA,NA,NA,NA,NA,NA," 1"," 1",NA,NA,NA,NA,"24",NA,NA,NA," 1",NA," 4",NA," 3",NA,NA," 1",NA,NA,NA,NA,NA," 1",NA,NA,NA,NA," 1",NA,NA,NA," 4",NA,NA,NA,NA,NA,NA,NA,NA," 7",NA,NA,NA,NA," 5",NA,NA,NA,NA," 2"," 3",NA," 1",NA,NA,NA," 1",NA,NA,NA,NA," 2"," 4",NA,NA,NA,NA," 4",NA,NA,NA,NA,NA,NA,NA," 2"
